img_name,dr7objid,ra,dec,bar,bulge,dust,edge,elliptical,lens,merging,spiral,tidal
1.png,588017704545812500,190.98575,13.126677,-1,-1,-1,-1,-1,-1,-1,1,-1
2.png,587724648188543033,192.05688,-3.3328447,1,-1,-1,-1,-1,-1,-1,1,1
3.png,587738947748626521,159.0677,37.324688,-1,-1,-1,-1,-1,-1,-1,1,-1
4.png,587731869633871916,179.11723,55.125233,-1,-1,-1,-1,-1,-1,-1,1,-1
5.png,587735696987193397,211.79729,55.001648,-1,-1,1,-1,1,-1,-1,-1,-1
6.png,588297864730181658,176.5325,47.49476,-1,-1,-1,1,-1,-1,-1,1,-1
7.png,587734893290848319,182.04005,10.378881,-1,-1,-1,-1,1,-1,-1,-1,-1
8.png,588017569236910086,189.14276,11.238863,-1,-1,1,1,-1,-1,1,1,-1
9.png,587738067813924971,149.08499,69.7001,-1,-1,-1,1,-1,-1,-1,-1,-1
10.png,587738569776955447,184.29758,15.323976,-1,-1,-1,-1,-1,-1,-1,1,-1
11.png,587736586036117538,208.91643,40.461758,-1,-1,-1,-1,-1,-1,-1,1,-1
12.png,588017565490085907,185.6606,11.80093,-1,-1,1,1,-1,-1,-1,-1,-1
13.png,588017724937076758,184.2912,7.1915755,-1,-1,-1,1,-1,-1,-1,-1,-1
14.png,587722982832013381,221.54634,-0.22294378,-1,-1,-1,-1,-1,-1,-1,1,1
15.png,588017948822863950,208.3401,40.36394,1,-1,-1,-1,-1,-1,-1,1,-1
16.png,588010878226399343,189.61836,4.319102,-1,-1,1,1,1,-1,-1,-1,-1
17.png,588017565490741294,187.18045,11.755033,1,-1,-1,1,-1,-1,-1,-1,-1
18.png,588017704007172105,186.80557,12.734777,-1,1,-1,-1,1,-1,-1,-1,-1
19.png,587732576700399634,162.80971,5.8400197,-1,-1,-1,-1,-1,-1,-1,1,-1
20.png,588017728153059441,188.57808,6.473219,-1,-1,-1,-1,-1,-1,-1,-1,-1
21.png,587735349112340576,185.63066,15.53766,1,-1,-1,1,-1,-1,-1,-1,-1
22.png,587729159500988440,189.45161,5.368524,-1,-1,-1,-1,-1,-1,-1,1,-1
23.png,587738410330292307,161.64565,13.750862,1,-1,-1,-1,-1,-1,-1,1,-1
24.png,588017703470628953,187.69814,12.388354,-1,-1,-1,-1,1,-1,-1,-1,-1
25.png,587739158191145031,149.58783,32.369892,-1,-1,-1,1,-1,-1,-1,-1,-1
26.png,587739815850606701,233.73836,23.503681,-1,-1,-1,-1,-1,-1,-1,-1,-1
27.png,587732772663525401,176.43983,10.824595,-1,1,-1,1,-1,-1,-1,-1,-1
